Comment,Designator,Footprint,LCSC
SW_Push,SW1,SKRKAEE020,C115357
TPL5110,U1,TSOT-23-6,C125830
200k,RV1,Potentiometer_Bourns_TC33X_Vertical,C128551
Conn_01x02,J3,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,C160352
1k,R2,R_0805_2012Metric,C25623
1M,R1,R_0805_2012Metric,C26115
1uF,C1,C_0805_2012Metric,C28323
Conn_01x08,"J1,J2",PinSocket_1x08_P2.54mm_Vertical,C2897371
LED,D1,LED_0603_1608Metric,C434423
47uF,C2,CP_Elec_5x5.4,C4747957
Conn_01x03,"J4,J5",PinHeader_1x03_P2.54mm_Vertical,C492411
DMG3415,U2,SOT-23,C96616
